tag,path,summary,required_params,all_params
Generation,/generation/outturn/interconnectors,Historic half-hourly interconnector flows (FUELINST),,"publishDateTimeFrom,publishDateTimeTo,settlementDateFrom,settlementDateTo,settlementPeriod,interconnectorName,format"
Generation,/generation/outturn/summary,Historic generation automatically down-sampled (FUELINST),,"startTime,endTime,includeNegativeGeneration,format"
Generation Forecast,/forecast/availability/daily,Fourteen-day generation capacity forecast (FOU2T14D),,"level,bmUnit,fuelType,format"
Generation Forecast,/forecast/availability/daily/evolution,Evolution of the fourteen-day generation capacity forecast over time (FOU2T14D),forecastDate,"forecastDate,level,bmUnit,fuelType,format"
Generation Forecast,/forecast/availability/daily/history,History of the fourteen-day generation capacity forecast (FOU2T14D),publishTime,"publishTime,level,bmUnit,fuelType,format"
Generation Forecast,/forecast/availability/weekly,Three-year generation capacity forecast (FOU2T3YW),,"level,bmUnit,fuelType,format"
Generation Forecast,/forecast/availability/weekly/evolution,Evolution of the three-year generation capacity forecast over time (FOU2T3YW),"year,week","year,week,level,bmUnit,fuelType,format"
Generation Forecast,/forecast/availability/weekly/history,History of the three-year generation capacity forecast (FOU2T3YW),publishTime,"publishTime,level,bmUnit,fuelType,format"
Generation Forecast,/forecast/generation/day-ahead,Day-ahead aggregated generation (DAG/B1430),"from,to","from,to,settlementPeriodFrom,settlementPeriodTo,format"
Generation Forecast,/forecast/generation/wind,Current wind generation forecast (WINDFOR),,format
Generation Forecast,/forecast/generation/wind-and-solar/day-ahead,Day-ahead generation forecast for wind and solar (DGWS/B1440),"from,to,processType","from,to,settlementPeriodFrom,settlementPeriodTo,processType,format"
Generation Forecast,/forecast/generation/wind/earliest,Historic view of the earliest forecasted wind generation (WINDFOR),"from,to","from,to,format"
Generation Forecast,/forecast/generation/wind/earliest/stream,Historic view of the earliest forecasted wind generation (WINDFOR) stream,"from,to","from,to"
Generation Forecast,/forecast/generation/wind/evolution,Evolution of the wind generation forecast over time (WINDFOR),startTime,"startTime,format"
Generation Forecast,/forecast/generation/wind/history,History of the wind generation forecast (WINDFOR),publishTime,"publishTime,format"
Generation Forecast,/forecast/generation/wind/latest,Historic view of the latest forecasted wind generation (WINDFOR),"from,to","from,to,format"
Generation Forecast,/forecast/generation/wind/latest/stream,Historic view of the latest forecasted wind generation (WINDFOR) stream,"from,to","from,to"
Generation Forecast,/forecast/generation/wind/peak,Peak wind generation forecast for each day (WINDFOR),,"from,to,format"
"Generation, Rolling System Demand",/generation/outturn,Total generation outturn (FUELINST),,"from,to,format"
Health Check,/health,Health check,,
Indicated Forecast,/forecast/indicated/day-ahead,"Latest indicated day-ahead forecast (INDDEM, INDGEN, IMBALNGC, MELNGC)",,"boundary,format"
Indicated Forecast,/forecast/indicated/day-ahead/evolution,"Evolution indicated day-ahead forecast (INDDEM, INDGEN, IMBALNGC, MELNGC)","settlementDate,settlementPeriod","settlementDate,settlementPeriod,boundary,format"
Indicated Forecast,/forecast/indicated/day-ahead/history,"Historical indicated day-ahead forecast (INDDEM, INDGEN, IMBALNGC, MELNGC)",publishTime,"publishTime,boundary,format"
Indicative Imbalance Settlement,/balancing/settlement/acceptance/volumes/all/{bidOffer}/{settlementDate},Acceptance volumes by settlement date (BOAV),"settlementDate,bidOffer","settlementDate,bidOffer,bmUnit,format"
Indicative Imbalance Settlement,/balancing/settlement/acceptance/volumes/all/{bidOffer}/{settlementDate}/{settlementPeriod},Acceptance volumes by settlement period (BOAV),"settlementPeriod,settlementDate,bidOffer","settlementPeriod,settlementDate,bidOffer,bmUnit,format"
Indicative Imbalance Settlement,/balancing/settlement/acceptances/all/{settlementDate}/{settlementPeriod},"Historic acceptances by settlement period (ISPSTACK, BOALF, BOD)","settlementDate,settlementPeriod","settlementDate,settlementPeriod,format"
Indicative Imbalance Settlement,/balancing/settlement/default-notices,Default notices (CDN),,format
Indicative Imbalance Settlement,/balancing/settlement/indicative/cashflows/all/{bidOffer}/{settlementDate},Indicative period BMU cashflows by settlement date (EBOCF),"bidOffer,settlementDate","bidOffer,settlementDate,bmUnit,format"
Indicative Imbalance Settlement,/balancing/settlement/indicative/cashflows/all/{bidOffer}/{settlementDate}/{settlementPeriod},Indicative period BMU cashflows by settlement period (EBOCF),"settlementPeriod,bidOffer,settlementDate","settlementPeriod,bidOffer,settlementDate,bmUnit,format"
Indicative Imbalance Settlement,/balancing/settlement/indicative/volumes/all/{bidOffer}/{settlementDate},Indicative volumes by settlement date (DISPTAV),"settlementDate,bidOffer","settlementDate,bidOffer,bmUnit,format"
Indicative Imbalance Settlement,/balancing/settlement/indicative/volumes/all/{bidOffer}/{settlementDate}/{settlementPeriod},Indicative volumes by settlement period (DISPTAV),"settlementPeriod,settlementDate,bidOffer","settlementPeriod,settlementDate,bidOffer,bmUnit,format"
Indicative Imbalance Settlement,/balancing/settlement/market-depth/{settlementDate},"Market depth by settlement date (IMBALNGC, BOD, DISEBSP, DISPTAV)",settlementDate,"settlementDate,format"
Indicative Imbalance Settlement,/balancing/settlement/market-depth/{settlementDate}/{settlementPeriod},"Market depth by settlement period (IMBALNGC, BOD, DISEBSP, DISPTAV)","settlementPeriod,settlementDate","settlementPeriod,settlementDate,format"
Indicative Imbalance Settlement,/balancing/settlement/messages/{settlementDate},Settlement messages by settlement date (SMSG),settlementDate,"settlementDate,format"
Indicative Imbalance Settlement,/balancing/settlement/messages/{settlementDate}/{settlementPeriod},Settlement messages by settlement date and period (SMSG),"settlementPeriod,settlementDate","settlementPeriod,settlementDate,format"
Indicative Imbalance Settlement,/balancing/settlement/stack/all/{bidOffer}/{settlementDate}/{settlementPeriod},Settlement bid-offer stacks by settlement period (ISPSTACK),"bidOffer,settlementDate,settlementPeriod","bidOffer,settlementDate,settlementPeriod,format"
Indicative Imbalance Settlement,/balancing/settlement/summary/{settlementDate}/{settlementPeriod},"Settlement calculation summary (ISPSTACK, DISEBSP, MID, NETBSAD)","settlementDate,settlementPeriod","settlementDate,settlementPeriod,format"
Indicative Imbalance Settlement,/balancing/settlement/system-prices/{settlementDate},Settlement system prices by settlement date (DISEBSP),settlementDate,"settlementDate,format"
Indicative Imbalance Settlement,/balancing/settlement/system-prices/{settlementDate}/{settlementPeriod},Settlement system prices by settlement date and period (DISEBSP),"settlementPeriod,settlementDate","settlementPeriod,settlementDate,format"
Legacy,/interop/MessageDetailRetrieval,"This endpoint is obsolete, and this location may be removed with no further notice. Use /remit/* or /datasets/REMIT endpoints instead.",messageId,messageId
Legacy,/interop/MessageListRetrieval,"This endpoint is obsolete, and this location may be removed with no further notice. Use /remit/* or /datasets/REMIT endpoints instead.","eventStart,eventEnd","eventStart,eventEnd"
Load Shape,/lss/load-shape-period,Load shape period data (IF022),date,"date,settlementPeriodFrom,settlementPeriodTo,format"
Load Shape,/lss/load-shape-period/stream,Load shape period data stream (IF022),"fromDate,toDate","fromDate,toDate,settlementPeriodFrom,settlementPeriodTo"
Load Shape,/lss/load-shape-totals,Load shape totals data (IF023),"fromDate,toDate","fromDate,toDate,format"
Load Shape,/lss/load-shape-totals/stream,Load shape totals data stream (IF023),"fromDate,toDate","fromDate,toDate"
Loss of Load Probability and De-rated Margin,/lolpdrm/forecast/evolution,Loss of load probability and de-rated margin forecast (LOLPDRM),,format
Margin Forecast,/forecast/margin/daily,Daily margin forecast (OCNMFD2),,format
